scenario_id,split_type,category,list_price,buyer_target,seller_target,title,description,price_delta_pct,relative_price,title_token_count,description_length,data_completeness,price_confidence,has_images
train_00010,train,electronics,50.0,38.0,50.0,BLU R1 HD - 16 GB,BLU R1 HD - 16 GB - Black - Amazon Prime Exclusive - with Lockscreen Offers & Ads. Comes with case.,0.24,0.5,6,99,1.0,True,True
train_00011,train,housing,2950.0,2714.0,2950.0,Live/work 3br apt. ner West Oak. Bart & S.F.,2950.00 for a 3 bedrooms and 2 Bathrooms Live/work apartment near the West Oakland Bart Station and about 10 minutes to San Francisco via Bay Bridge this space is 10 ft. ceiling the floors are ceramic title and Laminated the ceiling have 2 skylights and 1 off street parking with laundry hookups the address is 333 Henry St. Oakland the deposit is 1500.00 no section 8 if you have any question you can call Rafa at,0.08,1.3111111111111111,9,414,1.0,True,True
train_00012,train,electronics,780.0,717.0,780.0,Unlocked Brand New Apple iphone 7 Plus 128GB Jet Black,"We have rose gold, matte black and gold color too.,This phone is unlocked. You can use the phones in all GSM SIM CARD carriers such as AT&T/T-Mobile or international",0.08076923076923077,7.8,10,165,1.0,True,True
train_00013,train,electronics,300.0,180.0,300.0,Macbook pros Macbook airs,"looking for a macbook pro or macbook air,I can arrange all kinds of MacBooks,All macbooks serviced by certified apple technican all will look and function like new.,Final Cut Pro.",0.4,3.0,4,179,1.0,True,True
train_00014,train,furniture,125.0,95.0,125.0,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,0.24,1.0,10,198,1.0,True,True
train_00015,train,vehicles,8900.0,8188.0,8900.0,2014 TOYOTA PRIUS Hybrid,"Hi, I'm selling my 2014 Toyota Prius. It has only 65k miles. Backup camera, Bluetooth, CD, AUX, Keyless Go, There was no, engine, or transmission damage. Very clean inside, never smoke. Well maintained. Oil change every 5k miles with synthetic Toyota Original Oil. Registered until February 2019. Title on hands. It lost its clean title status due to rear bumper hit. Small scratch on the right side. I'm the second owner and had no any problem with it. The car is great, 50+ MPG. Will run 100k miles more easily. Call me or better text at any time",0.08,5.977165883143049,4,548,1.0,True,True
train_00016,train,electronics,75.0,69.0,75.0,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond.",0.08,0.75,6,118,1.0,True,True
train_00017,train,electronics,220.0,132.0,220.0,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system.",0.4,2.2,5,69,1.0,True,True
train_00018,train,electronics,160.0,121.0,160.0,Apple iPhone 5S 16gb Space Gray,"Apple iPhone 5S 16gb Space Gray,Like New Condition (no scratches anywhere),Will be reset to factory specs before sale",0.24375,1.6,6,117,1.0,True,True
train_00019,train,furniture,18.0,10.0,18.0,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much",0.4444444444444444,0.144,5,116,1.0,True,True
train_00020,train,vehicles,9000.0,8280.0,9000.0,2006 BMW x5,"If you want to buy a trouble free car keep reading, if you are looking for a bargain and don't have a problem with huge repair costs after buying your car please find another one.,Selling my 2006 BMW X5, 117K miles, Difficult to find it in these miles!!!,Mint condition, it has had all maintenance done, recently had all gaskets on engine replaced so no oil leaks whatsoever.,Has had the transmission and transfer case oils replaced in the last month.",0.08,6.044325050369375,3,451,1.0,True,True
train_00021,train,electronics,110.0,83.0,110.0,"Federal Pacific, ( FPE), stab-lok Circuit Breaker","I have NEW original, hard to find, Federal Pacific Electric ( FPE), also known as STAB-LOK, later also made by American Circuit Breaker and Challenger. These are NEW, original manufacturer, (OEM), breakers, not after market or refurbished (used and cleaned). I also have brand new original FPE sub panels and service panels of different types. I have more breakers of other sizes as well. I bought this equipment many years ago, before I retired and when Federal Pacific was Federal Pacific Electric and produced high grade equipment. FPE breakers later got a bad rap when after market breakers came in to the market.,Originally, Federal Pacific Electric ( FPE) was the only residential switching manufacturer using only copper, not aluminum, in their breakers and panels. This fact can be very important when installed near salt water, livestock or excessive moisture areas that can destroy aluminum.",0.24545454545454545,1.1,7,901,1.0,True,True
train_00022,train,housing,2599.0,2391.0,2599.0,GORGEOUS SINGLE HOUSE NEAR THE TEMPLES,"This charming family house has very bright natural light all year around and on a quiet residential area near the Mormon Temple. Close to highways 13 and 580 with easy commute to Berkeley, also SF by bus or casual car pool. Close to Montclair village, post office and banks, farmers' market, etc.,Decorative fireplace in living room. All hardwood floors. Central heating system.,Gourmet kitchen with granite counter top. Gas stove/oven, Refrigerator and Dishwasher included. Washer and Dryer hookups available.,Lovely breakfast nook with lots of light.,Detached one car garage and long driveway.,Front/back yards. (It can be a nice organic vegetable garden.)",0.08003078106964218,1.1551111111111112,6,658,1.0,True,True
train_00023,train,vehicles,600.0,456.0,600.0,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,0.24,0.40295500335795836,3,189,1.0,True,True
train_00024,train,vehicles,800.0,480.0,800.0,SOMA Doublecross 60 Ultegra Ritchey Carbon,This is a SOMA Doublecross with a great touring/hybrid setup. It has a Ritchey Carbon fork and King headset. Shimano Ultegra gear set and derailleurs. The Mavic CXP wheelset is two months old and has fresh continental touring plus tires. I just road it across Oregon and it performed beautifully. The pedals are hybrid mountain SPD clip pedals. The bike does not include the Cateye system.,0.4,0.5372733378106112,6,389,1.0,True,True
train_00025,train,housing,2834.0,1700.0,2834.0,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust,EMME Apartment Homes,6350 Christie Ave, Emeryville, CA 94608,We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances!,All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation!,Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart!,Schedule your appointment today!!,Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",0.40014114326040934,1.2595555555555555,9,910,1.0,True,True
train_00026,train,electronics,175.0,133.0,175.0,iPad 2 32gb EXCELLENT CONDITION,"Gently used, pre-LOVED iPad 2 for sale. I purchased a new iPad & my prior device needs a new home.,-White/silver",0.24,1.75,5,112,1.0,True,True
train_00027,train,electronics,15.0,13.0,15.0,Travel Electrical Adaptor Connection Pack Adapter,"Features:,*Each adapter clearly labeled for easy identification.,*Selection guide makes adapter identification quick and easy,*Deluxe organizer case holds all adapters,*Mini-zipper case lets you carry just the adapters you need",0.13333333333333333,0.15,6,227,1.0,True,True
train_00028,train,furniture,18.0,16.0,18.0,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much",0.1111111111111111,0.144,5,116,1.0,True,True
train_00029,train,furniture,40.0,36.0,40.0,Armoire clothes or other Storage Cabinet PRICED TO SELL!,"Thank you for viewing this nice MCM wood armoire. Great for storing clothes, craft items, and more! It measures 38"" wide x 19"" deep x 60"" high. The handle on the right door is missing, but easily replaced.",0.1,0.32,9,205,1.0,True,True
train_00030,train,electronics,55.0,41.0,55.0,Panasonic DVD Player,"Panasonic DVD Player: in excellent condition with no blemishes, scratches or dents. Looks and operates as if new.",0.2545454545454545,0.55,3,113,1.0,True,True
train_00031,train,electronics,155.0,93.0,155.0,Sol Republic Wireless Bluetooth Headphones,"A2 Sound Engines with clear highs and detailed deep bass,Super-Power Wireless - Control Tracks Air from up to 150 feet away",0.4,1.55,5,123,1.0,True,True
train_00032,train,vehicles,14800.0,11248.0,14800.0,2010 camaro ss on zl1 rims runs good 2018 tags clean title,selling my 2010 camaro ss 6.2L auto and maunal runs good 120miles,0.24,9.939556749496306,12,65,1.0,True,True
train_00033,train,vehicles,2000.0,1520.0,2000.0,2016 Raleigh Kodiak II 27.5 Upgraded Size L 2x10 spd.,"Got for sale a sweet 2016 Raleigh Kodiak II Full suspension w/120mm of travel front and back by Rock Shox with lockout on the front and 3 positions on the rear from Fox Factory w/Boost and Kashima Coating (pictured is the RT3 but that's not longer available) full SRAM's components i.e. SRAM XX rear der. (long cage) XO front der. XO grip shift, 175mm Race Face Turbine with CINCH technology 38/26, Praxis Works 11/40 cassette, KS Lev eTen remote (100mm travel) dropper post, and a sweet ass Roval Traverse Alloy boost+ wheelset w/DT's internals, SRAM Guide Hydro RS brakes (4 piston caliper) frame and fork is 15mm/12mm t/a and a nice Fizïk Tundra 2 kium rails. if you like to see the bike Monday's or Thursday's are the best as those are my day off, let me know if you have any questions and hit me up @",0.24,1.3431833445265278,10,806,1.0,True,True
train_00034,train,housing,1400.0,1288.0,1400.0,~~~STUDIO CHARM~~~,"*Private bath,*Fresh new look,* very near to Emeryville Bay Street,* West MAcArthur Bart 8 - 10 blocks away",0.08,0.6222222222222222,2,107,1.0,True,True
train_00035,train,vehicles,169.0,101.0,169.0,"Nishiki Colorado 18"", vintage mountain bike","At 18"" probably best fit for those 5'8"" to 5'11"",Double-butted Tange chromalloy throughout, front fork 4130 Cr-Mo,21 speeds: front derailleur Shimano LX, back Shimano Exage, analog levers,Cantilever brakes. Elliptical Biopace crank.",0.40236686390532544,0.1134989926124916,6,232,1.0,True,True
train_00036,train,electronics,60.0,45.0,60.0,BRAND NEW SAMSUNG'S SMART THINGS HUB,ASKING 60$... SERIOUS BUYERS ONLY PLEASE.. NO TRADES CASH ONLY.... I DON'T SHIP SO PLEASE DONT ASK... LOCAL PICKUP ONLY IN FREMONT CA... TEXT OR CALL ME ANYTIME,0.25,0.6,6,160,1.0,True,True
train_00037,train,vehicles,200.0,120.0,200.0,KONA woman's bicycle with panniers,"Includes two Jandd panniers, Kryptonite lock, Shimano Deore gear shifts with 9 settings, bell, mirror. Great for city shopping and short trips.",0.4,0.1343183344526528,5,143,1.0,True,True
train_00038,train,vehicles,600.0,552.0,600.0,Fully custom cannondale capo track bike,"Great track and crit bike,Very light frame,Front wheel: 510 track wheel",0.08,0.40295500335795836,6,71,1.0,True,True
train_00039,train,furniture,150.0,114.0,150.0,Howard Elliott Collection Puff Scroll Ottoman Ltd Ed Design,"Howard Elliott Collection Puff Scroll Ottoman Ltd Ed Design,Scroll Puff Ottoman: 24w x 24d x 18h.",0.24,1.2,9,97,1.0,True,True
train_00040,train,electronics,30.0,22.0,30.0,SMARTPHONE LEATHER BELT HOLSTER,"or email me at: rocksmith281@gmail for further information. I ONLY DO IN PERSON TRANSACTIONS, NO TRADES, CASH ONLY.,This stylish textured leather belt holster is big enough to accommodate the iPhone, Samsung, HTC, and many more. Features a felt lined interior for maximum protection, a solid metal clip and magnetic latch.,Specifications",0.26666666666666666,0.3,4,337,1.0,True,True
train_00041,train,vehicles,12000.0,9120.0,12000.0,"2013 mercedes c250 *navigation* clean - $12,000","Up for sale is a 2013 c250 with only 45k. Interior is loaded with technology and in new condition, the paint is immaculate on the exterior. The tires are new. Additional options include:,Navigation,Attention Assist (warns you if your drowsy),Automatic Windsheild Wipers,Bluetooth Audio Connectivity (for audio),Bluetooth Phone Connectivity (for phone calls),USB Connectivity",0.24,8.059100067159168,7,374,1.0,True,True
train_00042,train,electronics,780.0,717.0,780.0,Unlocked Brand New Apple iphone 7 Plus 128GB Jet Black,"We have rose gold, matte black and gold color too.,This phone is unlocked. You can use the phones in all GSM SIM CARD carriers such as AT&T/T-Mobile or international",0.08076923076923077,7.8,10,165,1.0,True,True
train_00043,train,housing,3200.0,2432.0,3200.0,A 4 bedroom single family house for rent in central Fremont,"This is a single family house in an excellent condition. It will be available for move-in on July 2017. It's in a very nice and quiet community with great school district. Email me for viewing or further information. Thanks.,Huge living room and family room, plus 4 spacious bedrooms,2 generous bathrooms with bathtubs,Great school district (Oliveira elementary, Thornton junior high, American high),Few mins drive to Bart and Lucky and 99 Supermarkets",0.24,1.4222222222222223,11,452,1.0,True,True
train_00044,train,electronics,150.0,114.0,150.0,2 x DJI Mavic Pro Original Battery / Batteries,- Selling 2 x Gently Used DJI Mavic Pro Batteries.,0.24,1.5,9,50,1.0,True,True
train_00045,train,vehicles,4200.0,3864.0,4200.0,2016 Ibis Mojo HD3 for sale - Large,"Get ready for summer riding!,Immaculate condition, less than 100 miles.,Frame: Carbon fiber,Color: Matte Black,Fork: Fox Factory series Float 36,Shock: Fox Factory series Float EVOL,Shifter: Shimano XT Deore",0.08,2.8206850235057086,8,207,1.0,True,True
train_00046,train,vehicles,4000.0,2400.0,4000.0,96 Civic Hatchback,Testing the waters. Selling my 96 hatchback. Open for trade only if it's for a 03 - 04 Yamaha R6,0.4,2.6863666890530555,3,96,1.0,True,True
train_00047,train,furniture,49.0,45.0,49.0,FASHION OPTICAL KIDS' FRAME DISPLAY,"This Fashion Optical Kids' Frame Display is in excellent condition, It measures 75""H x 23.5""W x 9""D. It has 3 fixed vertical bars each 36"", plus two wall-mountable bars each 20.5"". Comes with 20 frame clips that can be moved from bar to bar and spaced in any configuration. Additional frame clips available at Fashion Optical. LED lighting is available for an additional fee.",0.08163265306122448,0.392,5,375,1.0,True,True
train_00048,train,vehicles,8900.0,8188.0,8900.0,2003 350z,2003 350z has 120k miles. JWT Clutch and flywheel installed 2 months ago. K&N long tube cold air intake with 5/16 motordyne spacer kit. Lowered on tein springs. New Michelin A/S sport plus tires installed at 109k. Maintenced every 3500 miles. Just selling because I'm looking for a work truck. 8900 OBO,0.08,5.977165883143049,2,302,1.0,True,True
train_00049,train,furniture,400.0,240.0,400.0,4 Cubicles for Sale,"Cubes for sale, 4 pack (2 deep, 2 wide). H:47, W:72, D:72.",0.4,3.2,4,58,1.0,True,True
train_00050,train,vehicles,200.0,184.0,200.0,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,0.08,0.1343183344526528,8,316,1.0,True,True
train_00051,train,vehicles,3450.0,2070.0,3450.0,MASI 3V Volumetrica CCCP 1990 BRAND NEW (NOS),"IRD Blackbird Modified / Thomson X2,Masi CroMoly / Record C,Record (36h) / DT Swiss / Velocity Deep V / Schwalbe Ultremo R,Rear Wheel / Hub / Rim / Tire:,Record (36h) / DT Swiss / Velocity Deep V / Schwalbe Ultremo R,Saddle / Seat Post:",0.4,2.3169912693082604,8,236,1.0,True,True
train_00052,train,vehicles,100.0,76.0,100.0,TREK JET 20 S for 5-10 Year Old Kid,"Fits 5-10 year old child depening on height,Single Speed",0.24,0.0671591672263264,9,56,1.0,True,True
train_00053,train,housing,2250.0,1350.0,2250.0,"Bottom Floor, 2 Bd/2 Bth, Large Patio! Close to downtown, W.C. area!","Unwind in Your New Home Call Now:,114 Sharene Lane, Walnut creek, CA, 94596, is a 2 Bedroom, 1 Bath, approximately 950 Sq. Ft.,Why look any more we have the Perfect home for you!!!Hurry they are going fast!! You will restore your energy so you can be doing the activities you enjoy. Make The Pines your next apartment home! Pets are also welcome!,- Private Patio,- Dishwasher,- Cable Ready,- Range (Electric/ Gas),- Air Conditioner (Window),- Heat (gas),- Microwave,- Large Closets",0.4,1.0,12,481,1.0,True,True
train_00054,train,electronics,90.0,54.0,90.0,V-moda Crossfade LP2 Over Ear Headphones,"V-moda crossfade LP2 headphones in excellent condition. Perfect for producing, dj gigs and all music listening needs. Very flexible and lightweight with a very comfy fit. Comes with microphone chord, case and adapter. Case had some scratches on it, but still works great. I lost the other metal shield for the headphones so the right side is matte black while the left is metal. This doesn't affect sound quality.",0.4,0.9,6,413,1.0,True,True
train_00055,train,electronics,200.0,184.0,200.0,Denon AVR 1909 Receiver,"Recently upgraded and no longer need my Denon receiver. Is in excellent condition and still have the original box, manual and remote.",0.08,2.0,4,133,1.0,True,True
train_00056,train,furniture,299.0,179.0,299.0,BEAUTIFUL VICTORIAN DRESSER W MIRROR,"Wow! Here is a beautiful Victorian country pine wood dresser with mirror from San Francisco Estate. Circa 1890's. It is truly exquisite! The mirror looks fabulous, the wood is a beautiful honey color, and it still has its original drawer pulls. Pictures don't do it justice. Must see!",0.4013377926421405,2.392,5,284,1.0,True,True
train_00057,train,furniture,300.0,180.0,300.0,Professional Office Furniture - Hutch,"We need to sell off some of our office furniture as we need to make some extra room. This is a very new piece fully assembled. We bought it from Coscto Furniture, 3 months back. Here's the link to the actual furniture.,",0.4,2.4,5,219,1.0,True,True
train_00058,train,vehicles,240.0,220.0,240.0,Schwinn World Sport 14-speed road bike.,"Schwinn World Sport 14-speed road bike. 27"" (69cm) frame. 36"" (91cm) standover. Best fit someone 6'+.,Specifications:,Color: Blue.,Shimano Exage dual brake levers.,Shimano Exage Motion center pivot pulled side pulled brakes.,Shimano stem friction shifters (2X7).,Shimano biopace crank set: 40T, 52T.",0.08333333333333333,0.16118200134318333,6,299,1.0,True,True
train_00059,train,furniture,400.0,368.0,400.0,Entertainment center/ Media center,Beautiful entertainment center/Media center. Three pieces... Oak with CD/DVD doors. Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.,0.08,3.2,4,181,1.0,True,True
train_00060,train,electronics,300.0,180.0,300.0,Iphone 6,Black iPhone 6 looks brand new with screen cover and case with a kickstand. Verizon phone,0.4,3.0,2,89,1.0,True,True
train_00061,train,vehicles,9000.0,8280.0,9000.0,2006 BMW x5,"If you want to buy a trouble free car keep reading, if you are looking for a bargain and don't have a problem with huge repair costs after buying your car please find another one.,Selling my 2006 BMW X5, 117K miles, Difficult to find it in these miles!!!,Mint condition, it has had all maintenance done, recently had all gaskets on engine replaced so no oil leaks whatsoever.,Has had the transmission and transfer case oils replaced in the last month.",0.08,6.044325050369375,3,451,1.0,True,True
train_00062,train,electronics,50.0,30.0,50.0,"42"" Plasma Commercial Monitor (NO HDMI) with Speakers","Note: NO TV tuner, and NO HDMI input!,Main characteristics,Display format: 16:9;,Brightness: 650 CD/m2;,Contrast: 4000:1;,Progressive scan: yes;,Signal reception",0.4,0.5,8,161,1.0,True,True
train_00063,train,housing,3500.0,3220.0,3500.0,Adorable Furnished Cottage June 15-Aug 15,"Sweet N. Berkeley/Albany bungalow, fully furnished and cozy. Two bedrooms and one bath inside the main house, each with a full sized bed--and behind the main house is a guest cottage, the tiny cowboy cabin (""primitive""--no electricity) with an extra-long twin bed.,Ideally located in a quiet neighborhood near all the shops and dining on Solano Ave.and close to Westbrae and the Gilman district with the beer garden, Berkeley Natural Grocery, Whole Foods, Philz Coffee,Washer/dryer, dishwasher, large porch, outdoor patio with grill.",0.08,1.5555555555555556,6,533,1.0,True,True
train_00064,train,housing,2283.0,1369.0,2283.0,"Beautiful garden like feel with grassy areas,river rock, redwood trees","Valley Plaza Villages also has a convenient location that puts you close to the things you need access to every day. We are just a few minutes from dozens of stores and shopping areas, delicious restaurants, and the area's public transportation system. Simplify your hectic lifestyle and apply for one of our apartments in Pleasanton, CA 94566 today!,Amenities:,-Car Wash Area,-Lush Landscaping,-Microwaves,-Handicap Accessible,-White Cabinetry with Nickel Hardware,-Washer & Dryer,-Clubhouse with Full Kitchen,-Walk to Historical Downtown,Nearby Landmarks:",0.40035041611914146,1.0146666666666666,10,557,1.0,True,True
train_00065,train,vehicles,3500.0,3220.0,3500.0,2003 Honda Civic Lx Low Miles Clean Title Ready To Go!!!,"5 speed manual,Clean title in hand,Tags are paid and up to date,Low miles for the year 127,000.,Premium sound system pioneer,head unit with bluetooth",0.08,2.350570852921424,11,149,1.0,True,True
train_00066,train,housing,3600.0,2736.0,3600.0,SPACIOUS 3 BDRM 2 BA Unit - 1435 SQFT,"Unique Spacious 3 bdrm / 2 bath Unit with a large terrace. Located in the leafy Elmwood Neighborhood in Berkeley. Close to UC Campus, Tranportation and Shopping Facilities.",0.24,1.6,9,172,1.0,True,True
train_00067,train,vehicles,120.0,91.0,120.0,"Royce Union ""Vida"" Hybrid bicycle + Nexus 4-speed transmission",Call Marco to ride away!,0.24166666666666667,0.08059100067159167,9,24,1.0,True,True
train_00068,train,electronics,60.0,45.0,60.0,BRAND NEW SAMSUNG'S SMART THINGS HUB,ASKING 60$... SERIOUS BUYERS ONLY PLEASE.. NO TRADES CASH ONLY.... I DON'T SHIP SO PLEASE DONT ASK... LOCAL PICKUP ONLY IN FREMONT CA... TEXT OR CALL ME ANYTIME,0.25,0.6,6,160,1.0,True,True
train_00069,train,electronics,10.0,7.0,10.0,Original Blackberry Stereo Headset (New),Brand New OEM Original Blackberry Stereo Headset with On/off Button (Hdw-13019),0.3,0.1,5,79,1.0,True,True
train_00070,train,electronics,380.0,228.0,380.0,Binox-HD 4-16x binoculars,"Come see the latest in Smart HD Optics. The ATN Binox-HD binoculars are packed with so many features you will never want to use standard binoculars again. 24/7 use, Wi-Fi, E-zoom, record video, compass. Binox-HD binoculars are the worlds most advanced digital binoculars. Powered by a 1 GHz internal computer they carry a suite of sensors to enable the Senses as never before. Binox-HD - the binoculars for the 21st century.,Specs:,- Binoculars that record video and capture pictures,- Smooth zoom from 4X-16X,- Image stabilization for steady video,- Works in daylight or at night",0.4,3.8,3,580,1.0,True,True
train_00071,train,furniture,40.0,30.0,40.0,Ikea Solsta Sleeper Sofa,The sofa is used but in good condition. It quickly converts into a sleeper by folding out the seat cushions.,0.25,0.32,4,108,1.0,True,True
train_00072,train,vehicles,240.0,182.0,240.0,Schwinn World Sport 14-speed road bike.,"Schwinn World Sport 14-speed road bike. 27"" (69cm) frame. 36"" (91cm) standover. Best fit someone 6'+.,Specifications:,Color: Blue.,Shimano Exage dual brake levers.,Shimano Exage Motion center pivot pulled side pulled brakes.,Shimano stem friction shifters (2X7).,Shimano biopace crank set: 40T, 52T.",0.24166666666666667,0.16118200134318333,6,299,1.0,True,True
train_00073,train,vehicles,600.0,360.0,600.0,Fully custom cannondale capo track bike,"Great track and crit bike,Very light frame,Front wheel: 510 track wheel",0.4,0.40295500335795836,6,71,1.0,True,True
train_00074,train,furniture,35.0,26.0,35.0,rustic and unique bookshelf,very cool bookshelf for sale ! I am moving and this has got to be out by Sunday May 28.,0.2571428571428571,0.28,4,87,1.0,True,True
train_00075,train,furniture,49.0,37.0,49.0,FASHION OPTICAL KIDS' FRAME DISPLAY,"This Fashion Optical Kids' Frame Display is in excellent condition, It measures 75""H x 23.5""W x 9""D. It has 3 fixed vertical bars each 36"", plus two wall-mountable bars each 20.5"". Comes with 20 frame clips that can be moved from bar to bar and spaced in any configuration. Additional frame clips available at Fashion Optical. LED lighting is available for an additional fee.",0.24489795918367346,0.392,5,375,1.0,True,True
train_00076,train,furniture,40.0,30.0,40.0,black iron etagere ~ 4 shelf,"Please include a PHONE # in reply!,I'm selling a black iron etagere, as shown in picture,that has four shelves to display whatever you like. The shelves have four resin ""stones"" with leaf patterns on a light sage colored background.,Sorry I didn't manage to get a close-up!,Works in a living room, dining room, even a bath to hold extras, or to style up a patio!",0.25,0.32,6,362,1.0,True,True
train_00077,train,furniture,95.0,72.0,95.0,BEAUTIFUL OAK WOOD GLASS FRONT BOOKCASE,"Wow! Here is a beautiful oak wood bookcase or cabinet with glass doors from estate sale. It is approx six feet tall, made of oak wood, has two glass doors, and shelves on the interior.",0.24210526315789474,0.76,6,184,1.0,True,True
train_00078,train,housing,1850.0,1110.0,1850.0,Sunny! Location! Close to UCB,"Great Location!,Just several blocks to U.C. A Charming Spanish Mission Style Building. This Studio unit is about 630-650 sq.ft. Bright and sunny with a lot of windows and has larger closet space. Convenient to UC Berkeley, Shattuck Ave., Telegraph Ave., Shops, School, & BART.,Physical Address: 2320 Haste St., Berkeley, CA 94704,Nearest Street Intersection: Dana St. and Ellsworth St.,Apartment features include:,* Carpet floors nearly throughout,* Full size kitchen with eating area.,* Plus gas range and refrigerator.,* Lots of windows for great natural light,* Coin laundry on-site!",0.4,0.8222222222222222,5,586,1.0,True,True
